Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11
,,,,,,,,,,,
,,,,,,,,,,,
,Domain / Subdomain,,Human,AI,Other,Intentional,Unintentional,Other,Pre-deployment,Post-deployment,Other
,1,Discrimination & Toxicity,,,,,,,,,
,1.1,Unfair discrimination and misrepresentation,0.15,0.7,0.15,0.03,0.8,0.18,0.18,0.61,0.22
,1.2,Exposure to toxic content,0.11,0.82,0.08,0.11,0.26,0.64,0.06,0.88,0.06
,1.3,Unequal performance across groups,0.25,0.56,0.19,0.06,0.88,0.06,0.19,0.5,0.31
,2,Privacy & Security,,,,,,,,,
,2.1,"Compromise of privacy by obtaining, leaking or correctly inferring sensitive information",0.27,0.58,0.15,0.14,0.53,0.33,0.15,0.61,0.24
,2.2,AI system security vulnerabilities and attacks,0.77,0.06,0.16,0.73,0.15,0.11,0.22,0.58,0.21
,3,Misinformation,,,,,,,,,
,3.1,False or misleading information,0.02,0.9,0.07,0.1,0.71,0.2,0.05,0.85,0.1
,3.2,Pollution of information ecosystem and loss of consensus reality,0.28,0.44,0.28,0.06,0.44,0.5,,0.89,0.11
,4,Malicious actors & Misuse,,,,,,,,,
,4.1,"Disinformation, surveillance, and influence at scale",0.7,0.12,0.18,0.9,,0.1,,0.9,0.1
,4.2,"Cyberattacks, weapon development or use, and mass harm",0.76,0.15,0.09,0.85,0.01,0.13,0.03,0.88,0.09
,4.3,"Fraud, scams, and targeted manipulation",0.79,0.06,0.15,0.81,0.01,0.18,,0.93,0.07
,5,Human-Computer Interaction,,,,,,,,,
,5.1,Overreliance and unsafe use,0.45,0.22,0.33,0.12,0.61,0.27,,0.94,0.06
,5.2,Loss of human agency and autonomy,0.29,0.26,0.45,0.16,0.39,0.45,,0.74,0.26
,6,Socioeconomic & Environmental,,,,,,,,,
,6.1,Power centralization and unfair distribution of benefits,0.72,0.04,0.23,0.38,0.28,0.34,0.04,0.51,0.45
,6.2,Increased inequality and decline in employment quality,0.52,0.32,0.16,0.41,0.11,0.48,0.11,0.77,0.11
,6.3,Economic and cultural devaluation of human effort,0.5,0.37,0.13,0.37,0.2,0.43,0.13,0.6,0.27
,6.4,Competitive dynamics,0.68,0.11,0.21,0.42,0.42,0.16,0.21,0.26,0.53
,6.5,Governance failure,0.57,0.18,0.25,0.04,0.54,0.43,0.41,0.27,0.32
,6.6,Environmental harm,0.31,0.48,0.19,0.1,0.69,0.19,0.15,0.42,0.42
,7,"AI system safety, failures, & limitations",,,,,,,,,
,7.1,AI pursuing its own goals in conflict with human goals or values,0.09,0.72,0.18,0.5,0.13,0.36,0.19,0.31,0.49
,7.2,AI possessing dangerous capabilities,0.07,0.91,0.02,0.69,0.15,0.17,0.09,0.44,0.46
,7.3,Lack of capability or robustness,0.19,0.66,0.15,0.05,0.7,0.24,0.24,0.5,0.25
,7.4,Lack of transparency or interpretability,0.2,0.53,0.28,,0.55,0.45,0.15,0.53,0.33
,7.5,AI welfare and rights,0.67,0.33,,,0.33,0.67,,0.33,0.67
,7.6,Multi-agent risks ,0.07,0.7,0.24,0.28,0.46,0.26,0.02,0.83,0.15
,,,,,,,,,,,
,,,,,,,,,,,
,📧 Email: pslat[at]mit.edu,,,,,,,,,,
