Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12
,,,,,,,,,,,,
,Paper metadata,,,,,,,,,,,
,Included,Paper_ID,QuickRef,Title,Authors (full),Authors (short),Year,DOI,URL,Citations (28 May 2024),Cites/yr,Item type
,Yes,1,Critch2023,TASRA: a Taxonomy and Analysis of Societal-Scale Risks from AI,"Critch A, Russell S",Critch & Russell,2023,10.48550/arXiv.2306.06924,https://arxiv.org/abs/2306.06924,12,6,Preprint
,Yes,2,Cui2024,"Risk Taxonomy, Mitigation, and Assessment Benchmarks of Large Language Model Systems","Cui T, Wang Y, Fu C, Xiao Y, Li S, Deng X, Liu Y, Zhang Q, Qiu Z, Li P, Tan Z, Xiong J, Kong X, Wen Z, Xu K, Li Q",Cui et al.,2024,10.48550/arXiv.2401.05778,https://arxiv.org/abs/2401.05778,15,15,Preprint
,Yes,3,Cunha2023,Navigating the Landscape of AI Ethics and Responsibility,"Cunha PR, Estima J",Cunha & Estima,2023,10.1007/978-3-031-49008-8_8,https://doi.org/10.1007/978-3-031-49008-8_8,0,0,Conference Paper
,Yes,4,Deng2023,"Towards Safer Generative Language Models: A Survey on Safety Risks, Evaluations, and Improvements","Deng J, Cheng J, Sun H, Zhang Z, Huang M",Deng et al.,2023,10.48550/arXiv.2302.09270,https://arxiv.org/abs/2302.09270,1,0.5,Preprint
,Yes,5,Hagendorff2024,Mapping the Ethics of Generative AI: A Comprehensive Scoping Review,Hagendorff T,Hagendorff,2024,10.48550/arXiv.2402.08323,https://arxiv.org/abs/2402.08323,0,0,Preprint
,Yes,6,Hogenhout2021,A framework for ethical AI at the United Nations,Hogenhout L,Hogenhout,2021,10.48550/arXiv.2104.12547,https://arxiv.org/abs/2104.12547,11,2.75,Preprint
,Yes,7,Kilian2023,Examining the differential risk from high-level artificial intelligence and the question of control,"Kilian KA, Ventura CJ, Bailey MM","Kilian, Ventura & Bailey",2023,10.1016/j.futures.2023.103182,https://doi.org/10.1016/j.futures.2023.103182,7,3.5,Journal Article
,Yes,8,McLean2023,The risks associated with Artificial General Intelligence: A systematic review,"McLean S, Read GJ, Thompson J, Baber C, Stanton NA, Salmon PM",McLean et al.,2023,10.1080/0952813X.2021.1964003,https://doi.org/10.1080/0952813X.2021.1964003,87,43.5,Journal Article
,Yes,9,Meek2016,Managing the ethical and risk implications of rapid advances in artificial intelligence: A literature review,"Meek T, Barham H, Beltaif N, Kaadoor A, Akhter T",Meek et al.,2016,10.1109/PICMET.2016.7806752,https://doi.org/10.1109/PICMET.2016.7806752,38,4.222222222,Conference Paper
,Yes,10,Paes2023,Social Impacts of Artificial Intelligence and Mitigation Recommendations: An Exploratory Study,"Paes VM, Silveira FF, Akkari AC","Paes, Silveira & Akkari",2023,10.1007/978-3-031-04435-9_54,https://doi.org/10.1007/978-3-031-04435-9_54,3,1.5,Conference Paper
,Yes,11,Shelby2023,Sociotechnical Harms of Algorithmic Systems: Scoping a Taxonomy for Harm Reduction,"Shelby R, Rismani S, Henne K, Moon A, Rostamzadeh N, Nicholas P, Yilla-Akbari N, Gallegos J, Smart A, Garcia E, Virk G",Shelby et al.,2023,10.1145/3600211.3604673,https://doi.org/10.1145/3600211.3604673,79,39.5,Conference Paper
,Yes,12,Sherman2023,AI Risk Profiles: A Standards Proposal for Pre-Deployment AI Risk Disclosures,"Sherman E, Eisenberg I",Sherman & Eisenberg,2023,10.1609/aaai.v38i21.30348,https://doi.org/10.1609/aaai.v38i21.30348,0,0,Journal Article
,Yes,13,Solaiman2023,Evaluating the Social Impact of Generative AI Systems in Systems and Society,"Solaiman I, Talat Z, Agnew W, Ahmad L, Baker D, Blodgett SL, Daumé III H, Dodge J, Evans E, Hooker S, Jernite Y, Luccioni AS, Lusoli A, Mitchell M, Newman J, Png MT, Strait A, Vassilev A",Solaiman et al.,2023,10.48550/arXiv.2306.05949,https://arxiv.org/abs/2306.05949,46,23,Preprint
,Yes,14,Steimers2022,Sources of Risk of AI Systems,"Steimers A, Schneider M",Steimers & Schneider,2022,10.3390/ijerph19063641,https://doi.org/10.3390/ijerph19063641,29,9.666666667,Journal Article
,Yes,15,Tan2022,The Risks of Machine Learning Systems,"Tan S, Taeihagh A, Baxter K","Tan, Taeihagh & Baxter",2022,10.48550/arXiv.2204.09852,https://arxiv.org/abs/2204.09852,8,2.666666667,Preprint
,Yes,16,Weidinger2022,Taxonomy of Risks posed by Language Models,"Weidinger L, Uesato J, Rauh M, Griffin C, Huang PS, Mellor J, Glaese A, Cheng M, Balle B, Kasirzadeh A, Biles C, Brown S, Kenton Z, Hawkins W, Stepleton T, Birhane A, Hendricks LA, Rimell L, Isaac W, Haas J, Legassick S, Irving G, Gabriel I",Weidinger et al.,2022,10.1145/3531146.3533088,https://doi.org/10.1145/3531146.3533088,340,113.3333333,Conference Paper
,Yes,17,Weidinger2021,Ethical and social risks of harm from language models,"Weidinger L, Mellor J, Rauh M, Griffin C, Uesato J, Huang PS, Cheng M, Glaese M, Balle B, Kasirzadeh A, Kenton Z, Brown S, Hawkins W, Stepleton T, Biles C, Birhane A, Haas J, Rimell L, Hendricks LA, Isaac W, Legassick S, Irving G, Gabriel I",Weidinger et al.,2021,10.48550/arXiv.2112.04359,https://arxiv.org/abs/2112.04359,644,161,Preprint
