Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8
,,,,,,,,
,,,,,,,,
,Repository Version ,Considered ,Excluded ,Included ,,,,
,V2 ,31,18,13,,,,
,V3,12,3,9,,,,
,,,,,,,,
,Title,Authors,Year,URL,Source,Suggested,To be Included,Reason
,The AILuminate Assessment Standard,MLCommons ,2024,https://drive.google.com/file/d/1jVYoSGJHtDo1zQLTzU7QXDkRMZIberdo/view,Alexander Saeri,2025-01-03 00:00:00,No,Duplicate
,"A Collaborative, Human-Centred Taxonomy of AI, Algorithmic, and Automation Harms","Abercrombie, G.; Benbouzid, D.; Giudici, P.; Golpayegani, D.; Hernandez, J.; Noro, P.; Pandit, H.; Paraschou, E.; Pownall, C.; Prajapati, J.; Sayre, M. A.; Sengupta, U.; Suriyawongkul, A.; Thelot, R.; Vei, S.; Waltersdorfer, L. ",2024,https://drive.google.com/file/d/1-kGdaYizobuwjDSgIYKh7H3dhNuP0QzI/view,Charlie Pownall,2024-12-05 00:00:00,Yes,Incl
,Atlas of AI Risks: Enhancing Public Understanding of AI Risks,"Bogucka, E., Šćepanović, S.; Quercia, D.",2024,https://social-dynamics.net/atlas/,Peter Slattery ,2025-01-03 00:00:00,No,Excl - Not an organised framework
,NIST National Vulnerability Database ,NIST ,2024,https://nvd.nist.gov/,Alexander Saeri,2025-01-21 00:00:00,No,Excl - Not an organised framework
,AI Hazard Management: A Framework for the Systematic Management of Root Causes for AI Risks,"Schnitzer, R., Hapfelmeier, A., Gaube, S., & Zillner, S. ",2024,https://link.springer.com/chapter/10.1007/978-981-99-9836-4_27#Tab1,Jessica Graham ,2025-01-31 00:00:00,Yes,Incl
