"term","definition","source_anchor","notes"
"Bug Bounty","A programme in which actors outside an organisation are invited to find vulnerabilities in its services and systems. Those who report such vulnerabilities receive financial compensation.","https://www.traficom.fi/en/everyday-information-security/glossary-central-cyber-security-terms",""
"CERT","Computer Emergency Response Team. Tasked with preventing, detecting and investigating information security breaches and disseminating information on related threats. The purpose of the CERT activities carried out by the National Cyber Security Centre Finland is to prevent information security incidents and disseminate information on information security matters.","https://www.traficom.fi/en/everyday-information-security/glossary-central-cyber-security-terms",""
"ComSec","ComSec refers to practices designed to protect communications, including those related to cryptographic methods, the appropriate processing of cryptographic material, and physical security.","https://www.traficom.fi/en/everyday-information-security/glossary-central-cyber-security-terms",""
"GDPR","General Data Protection Regulation. The European Union’s General Data Protection Regulation sets common standards for organisations and individuals regarding the collection, storage, and management of personal data.","https://www.traficom.fi/en/everyday-information-security/glossary-central-cyber-security-terms",""
"Hacking","Activities designed to breach or influence a computer network, information system or the data they contain in order to gain access to a programme, service or other resource.","https://www.traficom.fi/en/everyday-information-security/glossary-central-cyber-security-terms",""
"Fraudulent website","A website that collects confidential data from its users, such as usernames and passwords, or distributes malicious software. The content of such fraudulent websites may have been copied from their legitimate counterparts, which can make detecting them difficult.","https://www.traficom.fi/en/everyday-information-security/glossary-central-cyber-security-terms",""
"Identity Management","Policies and technologies designed to manage the user data, roles and groups of users or devices.","https://www.traficom.fi/en/everyday-information-security/glossary-central-cyber-security-terms",""
"Identity theft","Criminal activities involving the unauthorised use of another person’s identity in order to deceive a third party.","https://www.traficom.fi/en/everyday-information-security/glossary-central-cyber-security-terms",""
"National Security Authority (NSA)","The public authority tasked with fulfilling international information security obligations and overseeing the appropriate protection and processing of classified international information. The Ministry for Foreign Affairs serves as Finland’s National Security Authority.","https://www.traficom.fi/en/everyday-information-security/glossary-central-cyber-security-terms",""
"Katakri","KATAKRI is an auditing tool used by public authorities to assess the ability of organisations to protect classified information. [Information security auditing tool for authorities - Katakri](https://um.fi/information-security-auditing-tool-for-authorities- katakri)","https://www.traficom.fi/en/everyday-information-security/glossary-central-cyber-security-terms",""
"Ransomware","A form of malicious software that encrypts or manipulates the data on a device and typically demands a ransom in order to restore access to the data.","https://www.traficom.fi/en/everyday-information-security/glossary-central-cyber-security-terms",""
"The National Cyber Security Centre Finland at the Finnish Transport and Communications Agency (Traficom)","The public authority tasked with developing and monitoring the operational reliability and security of communications networks and services, and maintaining situational awareness of national cyber security matters.","https://www.traficom.fi/en/everyday-information-security/glossary-central-cyber-security-terms",""
"Multi-factor authentication","An authentication method requiring the use of two or more devices.","https://www.traficom.fi/en/everyday-information-security/glossary-central-cyber-security-terms",""
"NCSC","National Cyber Security Centre. The National Cyber Security Centre Finland at the Finnish Transport and Communications Agency (Traficom) serves as Finland’s NCSC. The public authority tasked with developing and monitoring the operational reliability and security of communications networks and services, and maintaining situational awareness of national cyber security matters.","https://www.traficom.fi/en/everyday-information-security/glossary-central-cyber-security-terms",""
"NIS Directive","The EU Directive on the security of networks and information systems, also known as the NIS Directive, provides legal measures regarding security and notification requirements across a range of sectors. In Finland, these requirements are laid down in sector-specific legislation and overseen by the appropriate supervisory authorities.","https://www.traficom.fi/en/everyday-information-security/glossary-central-cyber-security-terms",""
"Default password","A password for a device or service that has been preset by the manufacturer or developer. In order to improve information security, it is advisable to change any default passwords when starting to use a device or service.","https://www.traficom.fi/en/everyday-information-security/glossary-central-cyber-security-terms",""
"Firewall","Devices and/or software used to establish a barrier between a computer and unauthorised contact from the internet. Firewalls only allow trusted and safe traffic between the computer and the internet.","https://www.traficom.fi/en/everyday-information-security/glossary-central-cyber-security-terms",""
"Denial-of-service attack","An attack designed to disrupt a service or information system by overloading it.","https://www.traficom.fi/en/everyday-information-security/glossary-central-cyber-security-terms",""
"PiTuKri","A set of criteria used to assess the information security of cloud services (abbreviated from its Finnish name, _Pilvipalveluiden turvallisuuden arviointikriteeristö._) Public authorities utilise the criteria to assess the security of confidential information processed with the help of cloud-based services.","https://www.traficom.fi/en/everyday-information-security/glossary-central-cyber-security-terms",""
