term,definition,source_anchor,notes
(EC)DH,,https://csrc.nist.gov/glossary/term/_ec_dh,abbr/syn: (Elliptic Curve) Diffie-Hellman; no definition listed
(KEM) ciphertext,A bit string that is produced by encapsulation and used as an input to decapsulation.,https://csrc.nist.gov/glossary/term/kem_ciphertext,source: FIPS 203
"(p, t)-completeness","For a given set of n variables, (p, t)-completeness is the proportion of the C(n, t) combinations that have configuration coverage of at least p.",https://csrc.nist.gov/glossary/term/p_t_completeness,source: NISTIR 7878
(t + k)-way combination coverage,"For a given test set that provides 100% t-way coverage for n variables, (t+k)-way combination coverage is the proportion of (t+k)-way combinations of n variables for which all variable-values configurations are fully covered.",https://csrc.nist.gov/glossary/term/t_k_way_combination_coverage,source: NISTIR 7878
.csv,,https://csrc.nist.gov/glossary/term/_csv,abbr/syn: Comma-Separated Value; no definition listed
[<i>T</i>]<sub>2</sub>,A binary representation for the integer <i>T</i> (using an agreed-upon length and bit order).,https://csrc.nist.gov/glossary/term/bracket_t_sub_2,source: NIST SP 800-108r1
[<i>T</i>]<sub>2</sub>,"An integer T represented as a binary string (denoted by the “2”) with a length specified by the function, an algorithm, or a protocol which uses T as an input.",https://csrc.nist.gov/glossary/term/bracket_t_sub_2,source: NIST SP 800-108
{<i>X</i>},Used to indicate that data X is an optional input to the key derivation function.,https://csrc.nist.gov/glossary/term/brace_x,source: NIST SP 800-108; NIST SP 800-108r1
{<i>X</i>},Indicates that the inclusion of X is optional.,https://csrc.nist.gov/glossary/term/brace_x,source: NIST SP 800-56B Rev. 2; NIST SP 800-56B Rev. 1
+,"Addition. For example, 5 + 4 = 9.",https://csrc.nist.gov/glossary/term/plus,source: NIST SP 800-106
+,Addition.,https://csrc.nist.gov/glossary/term/plus,source: NIST SP 800-90A Rev. 1
"<em>(n, d)</em>",RSA private key in the basic format.,https://csrc.nist.gov/glossary/term/parenths_n_d,source: NIST SP 800-56B Rev. 2; NIST SP 800-56B Rev. 1
"<em>(n, e)</em>",RSA public key.,https://csrc.nist.gov/glossary/term/parenths_n_e,source: NIST SP 800-56B Rev. 2; NIST SP 800-56B Rev. 1
