APP.4.4,Name,CIA,G 0.14,G 0.19,G 0.20,G 0.21,G 0.23,G 0.25,G 0.27,G 0.28,G 0.30,G 0.37,G 0.39,G 0.45,G 0.46,Col_17,Col_18,Col_19,Col_20
APP.4.4.A1,Planning the Separation of the Applications,,X,X,,,X,,,X,,,,,X,,,,
APP.4.4.A2,Planning Automation with CI/CD,,X,X,X,X,X,X,X,X,X,X,X,X,X,,,,
APP.4.4.A3,Identity and Access Management for Kubernetes,,X,X,,,X,,,,X,X,,,X,,,,
APP.4.4.A4,Separation of Pods,,X,X,,X,X,,,X,,,X,X,X,,,,
APP.4.4.A5,Backup in the Cluster,,,,,,,,,,,,,X,,,,,
APP.4.4.A6,Initialisation of Pods,,,,,,,X,,,,,,,,,,,
APP.4.4.A7,Separation of Networks for Kubernetes,,X,X,,X,X,,,X,,,X,X,X,,,,
APP.4.4.A8,Securing Configuration Files on Kubernetes,,X,X,,X,X,,,X,,,X,X,X,,,,
APP.4.4.A9,Use of Kubernetes Service Accounts,,X,,,X,,,,,X,,,,,,,,
APP.4.4.A10,Securing Automation Processes,,X,X,,X,X,X,,,X,,,,,,,,
APP.4.4.A11,Container Monitoring,,,,,,,X,X,,,,,,,,,,
APP.4.4.A12,Securing Infrastructure Applications,,X,X,,X,X,,,X,,,X,X,X,,,,
APP.4.4.A13,Automated Configuration Auditing,CIA,X,X,,X,X,,,,X,,X,X,X,,,,
APP.4.4.A14,Use of Dedicated Nodes,CIA,X,X,,,X,,,X,,,,X,X,,,,
APP.4.4.A15,Separation of Applications at Node and Cluster Level,CIA,X,X,,,X,,,X,,,,X,X,,,,
APP.4.4.A16,Use of Operators,CIA,,,,,,X,,,,,,,,,,,
APP.4.4.A17,Attestation of Nodes,CIA,X,X,,,X,,,X,,,,X,X,,,,
APP.4.4.A18,Use of Micro-Segmentation,CI,X,X,,,X,,,X,,,,X,X,,,,
APP.4.4.A19,High Availability of Kubernetes,A,,,,,,X,,,,,,,,,,,
APP.4.4.A20,Encrypted Data Storage for Pods,C,X,X,,,X,,,X,,,,X,X,,,,
APP.4.4.A21,Regular Restart of Pods,CIA,X,X,,,X,,,X,,,,X,X,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
