CON.6,Name,CIA,G 0.16,G 0.18,G 0.19,G 0.24,Col_8
CON.6.A1,Regulations for Deleting or Destroying Information,,,X,X,X,
CON.6.A2,Proper Deletion and Destruction of Sensitive Resources and Information,,X,,X,,
CON.6.A3,ELIMINATED,,,,,,
CON.6.A4,Selecting Suitable Methods for Deleting or Destroying Storage Media,,,X,X,X,
CON.6.A5,ELIMINATED,,,,,,
CON.6.A6,ELIMINATED,,,,,,
CON.6.A7,ELIMINATED,,,,,,
CON.6.A8,Creating a Policy for Deleting and Destroying Information,,,X,X,,
CON.6.A9,ELIMINATED,,,,,,
CON.6.A10,ELIMINATED,,,,,,
CON.6.A11,Deletion and Destruction of Storage Media by External Service Providers,,,X,X,,
CON.6.A12,Minimum Requirements for Deletion and Destruction Procedures,,,,X,,
CON.6.A13 ,Destruction of Defective Digital Storage Media,,,,X,,
CON.6.A14,Destruction of Storage Media at Increased Security Levels,C,,,X,,
