IND.1,Name,CIA,G 0.5,G 0.6,G 0.9,G 0.11,G 0.14,G 0.15,G 0.17,G 0.18,G 0.19,G 0.20,G 0.21,G 0.22,G 0.23,G 0.25,G 0.28,G 0.29,G 0.30,G 0.32,G 0.36,G 0.37,G 0.39,G 0.41,G 0.42,G 0.46
IND.1.A1,Integration into the Security Organisation,,,,,,,,,X,X,X,,,,,,X,X,,,,,,,
IND.1.A2,ELIMINATED,,,,,,,,,,,,,,,,,,,,,,,,,
IND.1.A3,Protection Against Malware,,,,,,X,,,,,,,,,,,,,,,,X,X,,
IND.1.A4,Documentation of OT Infrastructure,,,,X,,X,,,,,,X,,X,,,,,X,,,,,,
IND.1.A5,Development of a Suitable Zone Concept,,,,X,X,,X,,X,,,,,,,,,,,,,,,,
IND.1.A6,Change Management in OT Operations,,,,X,X,X,,,,,,,,,,,,,,,X,,,,
IND.1.A7,Establishing Comprehensive Authorisation Management Across OT and Office IT,,,,,,,,,,,,,,,,,,,X,X,X,,,,
IND.1.A8,Secure Administration,,,,,X,X,,,,X,,X,,X,,,,X,,,,,,,
IND.1.A9,Restrictive Use of Removable Media and Mobile Devices in ICS Environments,,,,,,,,,,X,,,,,,,,,,,,X,X,,X
IND.1.A10,"Monitoring, Logging and Detection",,,,,,,,,,,,,,,,,,,X,,X,X,X,,
IND.1.A11,Secure Procurement and System Development,,,,,,,,,X,,X,,,X,,X,,,,,,,,,
IND.1.A12,Establishing Vulnerability Management,,,,,,,,,,,,,,X,,X,,,,,,X,X,,
IND.1.A13,Contingency Planning for OT,A,X,X,X,X,,,,,,,,,,,,,,,,,,X,,
IND.1.A14,Strong Authentication for OT Components,CIA,,,,,,,,,,,,,,,,,X,X,X,,,,,
IND.1.A15,Monitoring of Wide-Ranging Authorisations,CIA,,,,,,,,,,,,,,,,,X,X,X,,,,,
IND.1.A16,Stronger Compartmentalisation of Zones,IA,,,,,,,,,,,,,X,,,,,X,,,,X,,
IND.1.A17,Regular Security Vetting,I,,,,,,,,,,,,,,,,X,X,X,,,,,,
IND.1.A18,Logging,,,,,,,,,,,,x,x,,,,,x,,,x,,,,
IND.1.A19,Creating Backups,,,,,,,,x,,,,,,,,,,,,,x,,,,
IND.1.A20,System Documentation,,,,,,,,x,,,,,,,,,,,,,x,,,,
IND.1.A21,Documentation of Communication Relationships,,,,x,,,,x,x,,,,,,,,,,,,,,,,
IND.1.A22,Central System Logging and System Monitoring,,,,,,,,,,,,x,x,,,,,x,,,x,,,,
IND.1.A23,Disposal of ICS Components,,,,,,,,,,x,,,,,,,,,,,,,,,
IND.1.A24,Communication in the Event of Incidents,A,,,x,,,,,,,,,,,x,,,,,,,,,,
