NET.1.2,Name,CIA,G 0.15,G 0.18,G 0.19,G 0.22,G 0.23,G 0.25,G 0.26,G 0.27,G 0.29,G 0.30,G 0.31,G 0.32,G 0.35,G 0.37,G 0.40,G 0.43,G 0.45,G 0.46,Col_22,Col_23
NET.1.2.A1,Network Management Planning,,,X,,,,,,,,,,,,,,,,,,
NET.1.2.A2,Specification of Network Management Requirements,,,X,,,,,,,X,,,,,,,,,,,
NET.1.2.A3,ELIMINATED,,,,,,,,,,,,,,,,,,,,,
NET.1.2.A4,ELIMINATED,,,,,,,,,,,,,,,,,,,,,
NET.1.2.A5,ELIMINATED,,,,,,,,,,,,,,,,,,,,,
NET.1.2.A6,Regular Backups,,,,,,,,,,,,,,,,,,X,,,
NET.1.2.A7,Basic Logging of Events,,,,,,,,,,X,,,,,X,,,,,,
NET.1.2.A8,Time Synchronisation,,,,,,,,,,X,,,,,X,,,,,,
NET.1.2.A9,Protection of Network Management Communication and Access to Network Management Tools,,X,,,,,,,,,X,,,,,,X,,X,,
NET.1.2.A10,Limitation of SNMP Communication,,X,,,,,,,,,X,,X,,,,,,,,
NET.1.2.A11,Definition of a Security Policy for Network Management,,,,,,,,,,,X,,,,,,,,,,
NET.1.2.A12,Current Inventory and Documentation of Network Management,,,,,,,,,,X,,,,,,,,,,,
NET.1.2.A13,Drawing Up a Network Management Concept,,,X,,,,,,,X,,,,,,,,,,,
NET.1.2.A14,Detailed and Implementation Planning,,X,X,X,,X,X,,X,X,X,,,,,,,,,,
NET.1.2.A15,Concept for Secure Operation of Network Management Infrastructure,,,X,,,,,,,X,,,,,,,,,,,
NET.1.2.A16,Setup and Configuration of Network Management Solutions,,,,,,X,X,,,X,X,,,,,,,,,,
NET.1.2.A17,Regular Gap Analysis within the Framework of Network Management,,,,,,,,,,X,,,,,,,,,,,
NET.1.2.A18,Training Measures for Management Solutions,,,,,,,,X,,X,,X,,,,,,,,,
NET.1.2.A19,ELIMINATED,,,,,,,,,,,,,,,,,,,,,
NET.1.2.A20,ELIMINATED,,,,,,,,,,,,,,,,,,,,,
NET.1.2.A21,Decoupling of Network Management Communication,,X,,X,,X,,,,,X,,,,,,,,,,
NET.1.2.A22,Restriction of Management Functions,,,,,,X,,,,,X,,,,,,,,,,
NET.1.2.A23,ELIMINATED,,,,,,,,,,,,,,,,,,,,,
NET.1.2.A24,Central Configuration Management for Network Components,,,,,,,X,,,,,X,,,,,,,,,
NET.1.2.A25,Status Monitoring for Network Components,,,,,,,X,X,X,,,,,,,,,,,,
NET.1.2.A26,Alarming and Logging,,,,,,,,,,X,,,,,X,,,,,,
NET.1.2.A27,Integration of Network Management into Contingency Planning,,,,,,,X,,,,,,,,,,,,,,
NET.1.2.A28,Location of Management Clients for In-Band Management,,,,X,X,,,,,,X,,,,,,,,,,
NET.1.2.A29,Using VLANS in the Management Network,,,,X,X,,,,,,X,,,,,,,,,,
NET.1.2.A30,Implementing Management Solutions for High Availability,A,,,,,,X,,,,,,,,,X,,,,,
NET.1.2.A31,Basic Use of Secure Protocols,IA,X,,,X,,,,,,X,,,,,,,,X,,
NET.1.2.A32,Physical Separation of the Management Network,CIA,,,X,X,,,,,,X,,,,,,,,,,
NET.1.2.A33,Physical Separation of Management Segments,CIA,,,X,X,,,,,,X,,,,,,,,,,
NET.1.2.A34,ELIMINATED,,,,,,,,,,,,,,,,,,,,,
NET.1.2.A35,Specifications for Securing Evidence,CIA,,X,X,X,X,,,,X,X,,,,,X,,X,X,,
NET.1.2.A36,Integration of Network Management Logging into an SIEM Solution,CIA,,X,X,X,X,X,,,X,X,,,,,X,,X,X,,
NET.1.2.A37,Time Synchronisation Across Locations,CI,,,,,,,,,X,,,,X,,,,,,,
NET.1.2.A38,Specification of Forms of Emergency Operations for Network Management Infrastructure,A,,X,,,,X,,,,,,,,,X,,X,,,
