NET.2.1,Name,CIA,G 0.9,G 0.15,G 0.16,G 0.18,G 0.23,G 0.24,G 0.25,G 0.30,G 0.31,G 0.40,G 0.43,G 0.44
NET.2.1.A1,Definition of a Strategy for WLAN Usage,,,,,X,,,,,,,,
NET.2.1.A2,Selection of a Suitable WLAN Standard,,X,X,,X,X,,,X,,,X,
NET.2.1.A3,Selection of Suitable Crypto Methods for WLAN,,,X,,X,X,,,X,,,X,
NET.2.1.A4,Suitable Location of Access Points,,X,,X,X,,X,X,,,X,,X
NET.2.1.A5,Secure Basic Configuration of Access Points,,,X,,,X,,,X,X,,X,
NET.2.1.A6,Secure Configuration of WLAN Infrastructure,,,X,,,X,,,X,X,,X,
NET.2.1.A7,Setting Up a Distribution System,,,X,,X,X,,,,,,,
NET.2.1.A8,Codes of Conduct in the Event of WLAN Security Incidents,,,X,,,,,,,,,,
NET.2.1.A9,Secure Connection of WLANs to a LAN,,,X,,X,X,,,,X,,,
NET.2.1.A10,Drawing Up a Security Policy for WLAN Operation,,,X,,X,,,,,,,,
NET.2.1.A11,Selection of Suitable WLAN Components,,,,,X,,,,,,,,
NET.2.1.A12,Use of a Suitable WLAN Management Solution,,,,X,,X,,X,X,X,X,X,
NET.2.1.A13,Regular Security Checks of WLANs,,,,,,X,,,X,,X,X,
NET.2.1.A14,Regular Audits of WLAN Components,,,,,,X,,,X,,X,X,
NET.2.1.A15,Using a VPN to Secure WLANs,CI,,X,,,X,,,X,X,,X,
NET.2.1.A16,Additional Protection When Connecting WLANs to a LAN,CIA,,X,,,X,,,X,,,,
NET.2.1.A17,Protecting Communication Between Access Points,C,,X,,,X,,,,,,,
NET.2.1.A18,Use of Wireless Intrusion Detection / Wireless Intrusion Prevention Systems,CIA,,,,,X,,,X,,X,X,
