NET.3.1,Name,CIA,G 0.9,G 0.11,G 0.14,G 0.15,G 0.18,G 0.19,G 0.20,G 0.21,G 0.22,G 0.23,G 0.25,G 0.26,G 0.27,G 0.29,G 0.30,G 0.31,G 0.32,G 0.36,G 0.37,G 0.38,G 0.40,G 0.43,G 0.45,G 0.46,Col_28
NET.3.1.A1,Secure Basic Configuration of a Router or Switch,,X,,,,X,X,,X,X,,,X,,,,,,,,,,,,,
NET.3.1.A2,ELIMINATED,,,,,,,,,,,,,,,,,,,,,,,,,,
NET.3.1.A3,ELIMINATED,,,,,,,,,,,,,,,,,,,,,,,,,,
NET.3.1.A4,Protection of Administration Interfaces,,X,X,X,X,,,,,,X,,,,,X,X,X,X,,X,,,,,
NET.3.1.A5,Protection Against Fragmentation Attacks,,X,,X,X,,X,X,X,X,X,X,X,X,X,X,X,X,X,,X,X,X,X,X,
NET.3.1.A6,Emergency Access to Routers and Switches,,,,X,X,,,,,,,,,X,,,,,,X,,,,,,
NET.3.1.A7,Logging on Routers and Switches,,,X,,,,,,,,,,,,,,,,,,,,,,,
NET.3.1.A8,Regular Backups,,,X,,,,,,,,,,,,,,,,,X,,,,,,
NET.3.1.A9,Operational Documentation,,X,X,X,X,,,,,,,,,,,,,,,,,,,,,
NET.3.1.A10,Creating a Security Policy,,,,,,,,,,,X,,,,,,,,,,,,,,,
NET.3.1.A11,Procurement of a Router or Switch,,X,X,X,X,,,,,,X,,,,,X,X,X,X,,X,,,,,
NET.3.1.A12,Drawing Up a Configuration Checklist for Routers and Switches,,X,X,X,X,,,,,,X,,,,,X,X,X,X,X,X,,,,,
NET.3.1.A13,Administration Using a Separate Management Network,,X,,X,X,X,,X,,,X,X,X,X,X,X,X,X,X,,X,,,,,
NET.3.1.A14,Protection Against Misuse of ICMP Messages,,X,X,X,X,,,,,,X,,,,,,,,,,,,,,,
NET.3.1.A15,Bogon and Spoofing Filtering,,X,,,,,,,,,,X,,,,,,,,,,X,X,X,X,
NET.3.1.A16,Protection Against “IPv6 Routing Header Type-0” attacks,,X,,,,,,,,,,X,,,,,,,,,,X,X,X,X,
NET.3.1.A17,Protection Against DoS and DDoS Attacks,,X,,,,,,,,,,X,,,,,,,,,,X,X,X,X,
NET.3.1.A18,Configuration of Access Control Lists,,X,,,,,,,,,,X,,,,,,,,,,X,X,X,X,
NET.3.1.A19,Protection of Switch Ports,,X,,,,,,,,,,X,,,,,,,,,,X,X,X,X,
NET.3.1.A20,Security Aspects of Routing Protocols,,,,,,,,,,,,,,X,,,,,,,,,,,,
NET.3.1.A21,Identity and Authorisation Management in Network Infrastructure,,,,,,,,,,,X,,,,,,,,,,,,,,,
NET.3.1.A22,Contingency Planning for Routers and Switches,,,X,X,X,X,,,,,X,,,X,,,,,,,,,,,,
NET.3.1.A23,Audits and Penetration Tests,,X,X,X,X,,,,,,X,X,,,,X,X,X,X,,X,,,,,
NET.3.1.A24,Use of Network Access Controls,IA,X,,X,X,,,,,,X,,,,,X,X,X,X,,X,,,,,
NET.3.1.A25,Advanced Integrity Protection for Configuration Files,I,,,X,X,,X,,X,X,X,,,,,,,,,,,,,,,
NET.3.1.A26,High Availability,A,,,X,X,,,,,,,,,,,,,,,X,,,,,,
NET.3.1.A27,Bandwidth Management for Critical Applications and Services,A,,,X,X,,X,,X,X,X,,,,,,,,,,,,,,,
NET.3.1.A28,Use of Certified Products,CI,X,,,,,,,,,X,X,,X,,,,,,,,X,X,X,X,
