OPS.1.1.3,Name,CIA,G 0.18,G 0.19,G 0.20,G 0.23,G 0.25,G 0.26,G 0.27,G 0.28,G 0.39,G 0.46,Col_14
OPS.1.1.3.A1,Concept for Patch and Change Management,,X,,,,,,,,,,
OPS.1.1.3.A2,Definition of Responsibilities,,X,,,,,,,,,,
OPS.1.1.3.A3,Configuration of Auto-Update Mechanisms,,,X,X,X,X,X,,X,X,,
OPS.1.1.3.A4,ELIMINATED,,,,,,,,,,,,
OPS.1.1.3.A5,Handling Change Requests,,X,,,,X,X,,,,,
OPS.1.1.3.A6,Coordination of Change Requests,,X,,,,X,X,,,,,
OPS.1.1.3.A7,Integration of Change Management into Business Processes,,X,,,,X,X,,,,,
OPS.1.1.3.A8,Secure Use of Tools for Patch and Change Management,,,X,X,X,X,X,X,X,,,
OPS.1.1.3.A9,Testing and Acceptance Procedures for New Hardware,,,,,,X,X,,X,,,
OPS.1.1.3.A10,Assuring the Integrity and Authenticity of Software Packages,,,,X,X,,,,X,X,X,
OPS.1.1.3.A11,Continuous Documentation of Information Processing,,X,,,,,,,,,,
OPS.1.1.3.A12,Use of Tools in Change Management,A,X,,,,X,X,X,,,,
OPS.1.1.3.A13,Measuring the Success of Change Requests,IA,X,,,,,X,,,,,
OPS.1.1.3.A14,Synchronisation Within Change Management,CIA,X,,,,,,,,,,
OPS.1.1.3.A15,Regular Updating of IT Systems and Software,,X,,,X,X,X,,X,,,
OPS.1.1.3.A16,Regular Search for Information on Patches and Vulnerabilities,,,X,,X,X,,,X,X,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
