OPS.1.2.4,Name,CIA,G 0.14,G 0.18,G 0.19,G 0.21,G 0.22,G 0.23,G 0.24,G 0.25,G 0.30,G 0.31,G 0.32,G 0.33,G 0.40,G 0.45,G 0.46
OPS.1.2.4.A1,Rules on Teleworking,,X,X,X,X,X,X,,,X,X,X,X,,X,X
OPS.1.2.4.A2,Security-Related Requirements for Teleworking Computers,,X,,X,X,X,X,,,X,X,,,X,X,X
OPS.1.2.4.A3,ELIMINATED,,,,,,,,,,,,,,,,
OPS.1.2.4.A4,ELIMINATED,,,,,,,,,,,,,,,,
OPS.1.2.4.A5,Employee Awareness and Training,,X,X,X,X,X,X,,,,,,,,,X
OPS.1.2.4.A6,Creating a Security Concept for Teleworking,,,X,,,,,X,X,,,,X,,X,
OPS.1.2.4.A7,Regulations on Using Communication Capabilities for Teleworking,,X,X,X,X,X,X,,,X,X,X,,,,X
OPS.1.2.4.A8,Flow of Information Between Employees and Organisations,,,X,,,,,,,,,,X,,,X
OPS.1.2.4.A9,Support and Maintenance Concept for Teleworking Locations,,,X,,,,,,X,,,,,,,X
OPS.1.2.4.A10,Analysis of Teleworking Location Requirements,,,X,,,,,,,,,,,,,
