OPS.1.2.5,Name,CIA,G 0.14,G 0.18,G 0.19,G 0.20,G 0.21,G 0.22,G 0.25,G 0.30,G 0.31,G 0.37,G 0.39,G 0.40
OPS.1.2.5.A1,Planning the Use of Remote Maintenance,,,X,,,,,,,,,,
OPS.1.2.5.A2,Establishing a Secure Connection for Remote Maintenance of Clients,,,,,,,,,,X,,,
OPS.1.2.5.A3,Securing Interfaces for Remote Maintenance,,X,X,,,,,X,,X,,,
OPS.1.2.5.A4,ELIMINATED,,,,,,,,,,,,,
OPS.1.2.5.A5,Use of Online Services,,,,X,,,,X,,,,,
OPS.1.2.5.A6,Drawing Up a Policy for Remote Maintenance,,,X,,,,,,,,,,
OPS.1.2.5.A7,Documentation During Remote Maintenance,,,X,X,,,,,,,,,
OPS.1.2.5.A8,Secure Protocols for Remote Maintenance,,X,,X,,,X,,,,,,
OPS.1.2.5.A9,Selection and Acquisition of Suitable Remote Maintenance Tools,,,X,,X,,,,,,,,
OPS.1.2.5.A10,Management of Remote Maintenance Tools,,,X,,X,,,,,,X,,
OPS.1.2.5.A11,ELIMINATED,,,,,,,,,,,,,
OPS.1.2.5.A12,ELIMINATED,,,,,,,,,,,,,
OPS.1.2.5.A13,ELIMINATED,,,,,,,,,,,,,
OPS.1.2.5.A14,Dedicated Clients for Remote Maintenance,CIA,,,,,X,X,X,,,,,
OPS.1.2.5.A15,ELIMINATED,,,,,,,,,,,,,
OPS.1.2.5.A16,ELIMINATED,,,,,,,,,,,,,
OPS.1.2.5.A17,Authentication Mechanisms for Remote Maintenance,,X,,,,X,,X,,,,,
OPS.1.2.5.A18,ELIMINATED,,,,,,,,,,,,,
OPS.1.2.5.A19,Remote Maintenance by Third Parties,,,,X,,X,,,,,,X,
OPS.1.2.5.A20,Remote Maintenance Operations,,,X,,,,,X,,,,X,X
OPS.1.2.5.A21,Creation of a Business Continuity Plan in Case of Remote Maintenance Failure,,,X,,,,,,X,,,,
OPS.1.2.5.A22,Redundant Communication Links,A,,X,X,,,X,,X,,X,,
OPS.1.2.5.A23,ELIMINATED,,,,,,,,,,,,,
OPS.1.2.5.A24,Securing Integrated Remote Maintenance Systems,,,,,X,,,X,,X,,,
OPS.1.2.5.A25,Decoupling of Network Management Communication During Remote Maintenance,,,,,,,,,X,,,,
