OPS.1.2.6,Name,CIA,G 0.18,G 0.19,G 0.20,G 0.22,G 0.25,G 0.27,G 0.29,G 0.30,G 0.40,G 0.46,Col_14,Col_15
OPS.1.2.6.A1,Planning the Use of NTPs,,X,,,,,,,,,,,
OPS.1.2.6.A2,Secure Use of External Time Sources,,,,X,,,,X,,,,,
OPS.1.2.6.A3,Secure Configuration of NTP Servers,,,X,,,,,,X,,X,,
OPS.1.2.6.A4,Failure to Account for Unsolicited Time Information,,,,,X,,,,,,,,
OPS.1.2.6.A5,Use of Client-Server Mode for NTP,,,,,X,,X,,,,X,,
OPS.1.2.6.A6,Monitoring of IT Systems Using NTP,,X,,,X,,,,,,,,
OPS.1.2.6.A7,Secure Configuration of NTP Clients,,X,,,,X,,,,X,X,,
OPS.1.2.6.A8,Use of Secure Time Synchronisation Protocols,,X,,,X,,,,,,X,,
OPS.1.2.6.A9,Sufficient Availability of Accurate Time Sources,A,,,,,X,X,,,,X,,
OPS.1.2.6.A10,Internal NTP Servers Only,I,,,X,X,,,,,,,,
OPS.1.2.6.A11,Redundant NTP Servers,A,,,,,,X,,,,,,
OPS.1.2.6.A12,NTP Servers with Authenticated Information,I,,,X,X,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
