ORP.4,Name,CIA,G 0.14,G 0.15,G 0.16,G 0.18,G 0.22,G 0.23,G 0.25,G 0.29,G 0.30,G 0.31,G 0.32,G 0.36,G 0.37,G 0.44,G 0.46
ORP.4.A1,Regulation for Creating and Deleting Users and User Groups,,,,,X,,,,,,,,,,,
ORP.4.A2,"Creating, Changing, and Revoking Authorisations",,,,,X,,,,,,,,,,,
ORP.4.A3,Documentation of User IDs and Rights Profiles,,,,,X,,,,,,,,,,,
ORP.4.A4,Distribution of Tasks and Separation of Roles,,,,,,X,,,X,,,X,,X,,
ORP.4.A5,Assignment of Site Access Rights,,,,X,X,,,,X,,,,,,X,
ORP.4.A6,Assignment of System Access Rights,,,,,X,,X,,X,,,,,,,
ORP.4.A7,Assignment of Data Access Rights,,,,,X,,X,,X,,,,,,,
ORP.4.A8,Provisions Governing the Use of Passwords,,,,,X,,X,,X,,,,,,,
ORP.4.A9,Identification and Authentication,,X,X,,X,X,X,,,X,,X,X,X,,X
ORP.4.A10,Protection of User IDs with Wide-Ranging Authorisations,,X,,,,,,,,,,X,X,,,
ORP.4.A11,Resetting Passwords,,,,,X,,X,,,,,,X,,,
ORP.4.A12,Developing an Authentication Concept for IT Systems and Applications,,X,,,,,,,,,,X,X,,,
ORP.4.A13,Selection of Suitable Authentication Mechanisms,,X,,,,,,,,,,X,X,,,
ORP.4.A14,Checking the Effectiveness of User Separation in IT Systems or Applications,,,,,X,,,,X,,,,,X,,
ORP.4.A15,Approach and Design of Identity and Access Management Processes,,,,,X,,,,,,,,,,,
ORP.4.A16,Policies for Data and System Access Control,,,,,X,,,,,,,,,,,
ORP.4.A17,Suitable Selection of Identity and Access Management Systems,,,,,X,,,,,X,X,,,,,
ORP.4.A18,Using a Central Authentication Service,,X,X,,X,,,,,,,,X,,,
ORP.4.A19,Instruction of All Employees in the Handling of Authentication Methods and Mechanisms,,,,,,,,,,,X,,,,,
ORP.4.A20,Contingency Planning for the Identity and Access Management System,CIA,,,,,,,X,,,,,,,,
ORP.4.A21,Multi-Factor Authentication,CI,,,,,,X,,,X,,X,X,,,
ORP.4.A22,Regulating Password Quality,,,,,X,,X,,X,,,,,,,
ORP.4.A23,Regulating Password-Processing Applications and IT Systems,,,,,X,,X,,X,,,,,,,
ORP.4.A24,Dual Control for Administrative Activities,CIA,X,,,,X,,,,X,X,X,,X,,
