SYS.1.1,Name,CIA,G 0.8,G 0.14,G 0.16,G 0.18,G 0.19,G 0.20,G 0.21,G 0.22,G 0.23,G 0.25,G 0.26,G 0.27,G 0.28,G 0.30,G 0.31,G 0.32,G 0.37,G 0.39,G 0.40,G 0.43,G 0.45,G 0.46
SYS.1.1.A1,Appropriate Installation,,,,X,,,,X,,,,,,,,,,,,,,,
SYS.1.1.A2,User Authentication on Servers,,,X,,,X,,,X,,,,,,X,,,,,,,,
SYS.1.1.A3,ELIMINATED,,,,,,,,,,,,,,,,,,,,,,,
SYS.1.1.A4,ELIMINATED,,,,,,,,,,,,,,,,,,,,,,,
SYS.1.1.A5,Protection of Interfaces,,,,,,,,X,,X,,,,,,,,,,,,,
SYS.1.1.A6,Disabling Unnecessary Services,,,X,,X,X,,,,X,,,,,,,,,,,,,
SYS.1.1.A7,ELIMINATED,,,,,,,,,,,,,,,,,,,,,,,
SYS.1.1.A8,ELIMINATED,,,,,,,,,,,,,,,,,,,,,,,
SYS.1.1.A9,Using Anti-Virus Programs on Servers,,,,,,,,,,,,,,,,,,,X,,,,
SYS.1.1.A10,Logging,,,,,,,,,,,,,,,,,,X,,,,,
SYS.1.1.A11,Defining a Security Policy for Servers,,,,,X,,,,,,,,,,,X,,,,,,,
SYS.1.1.A12,Planning the Use of Servers,,,,,X,,,,,,,,,,,,,,,,,,
SYS.1.1.A13,Procurement of Servers,,,,,X,,,,,,,,,,,,,,,,,,
SYS.1.1.A14,ELIMINATED,,,,,,,,,,,,,,,,,,,,,,,
SYS.1.1.A15,Stable and Uninterruptible Power Supply,,X,,,,,,,,,,,,,,,,,,,,,
SYS.1.1.A16,Secure Basic Configuration of Servers,,,,,X,,,,,,,,,,,,,,,,,,
SYS.1.1.A17,ELIMINATED,,,,,,,,,,,,,,,,,,,,,,,
SYS.1.1.A18,ELIMINATED,,,,,,,,,,,,,,,,,,,,,,,
SYS.1.1.A19,Configuring Local Packet Filters,,,X,,,X,,,,X,,,,,,,,,,,X,,
SYS.1.1.A20,ELIMINATED,,,,,,,,,,,,,,,,,,,,,,,
SYS.1.1.A21,Operational Documentation for Servers,,,,,X,,,,X,,,,,,,,,X,,,,X,
SYS.1.1.A22,Integration into Contingency Planning,,,,,X,,,,,,,,X,,,,,,,,,,
SYS.1.1.A23,Monitoring Systems and Servers,,,,,X,,,,,,X,X,X,,,,,,,,,,
SYS.1.1.A24,Security Checks for Servers,,,,,X,,,,,,,,,,,,,,,,,,
SYS.1.1.A25,Controlled Decommissioning of a Server,,,,,,X,,,,,,,X,,,X,,,,,,,
SYS.1.1.A26,ELIMINATED,,,,,,,,,,,,,,,,,,,,,,,
SYS.1.1.A27,Host-Based Attack Detection,IA,,,,,,,X,X,X,,,,,X,,X,,,X,,,
SYS.1.1.A28,Increasing Availability Through Redundancy,A,,,,,,,,,,X,,X,,,,,,,,,,
SYS.1.1.A29,ELIMINATED,,,,,,,,,,,,,,,,,,,,,,,
SYS.1.1.A30,One Service per Server,CIA,,,,,,,,,,X,,,X,,,,,,,,,
SYS.1.1.A31,Using Execution Control,CI,,,,,,,,,X,,,,,,,,,X,,,,
SYS.1.1.A32,ELIMINATED,,,,,,,,,,,,,,,,,,,,,,,
SYS.1.1.A33,Active Administration of Root Certificates,CI,,X,,X,,,,,X,,,,,,,,,,,,,
SYS.1.1.A34,Hard Disk Encryption,CI,,X,,,X,,,X,,,,,,,,,,,,,,X
SYS.1.1.A35,Drawing Up and Maintaining an Operating Manual,,,X,,X,X,X,,,,,,X,,,,,,,,,,
SYS.1.1.A36,Protecting the Boot Process,CIA,,,,,,,X,,,,,,,,,,,,,,,
SYS.1.1.A37,Encapsulation of Security-Critical Applications and Operating System Components,,,,,,,,X,,,,,,,,X,,,X,,,X,
SYS.1.1.A38,Hardening of the Host System by Means of a Read-Only File System,I,,,,,,,X,,,,,,X,,,,,X,,,,X
