SYS.2.2.3,Name,CIA,G 0.14,G 0.15,G 0.18,G 0.19,G 0.21,G 0.22,G 0.23,G 0.28,G 0.29,G 0.30,G 0.36,G 0.37,G 0.39
SYS.2.2.3.A1,Planning the Use of Cloud Services for Windows 10,,,X,X,,,,,,X,,,,
SYS.2.2.3.A2,Selecting and Procuring a Suitable Windows 10 Version,,,,X,,,,,,X,,,,
SYS.2.2.3.A3,ELIMINATED,,,,,,,,,,,,,,
SYS.2.2.3.A4,Telemetry and Privacy Settings in Windows 10,,,,,X,,,,,,,,,
SYS.2.2.3.A5,Protection Against Malware in Windows 10,,,,,,,,,,,,,,X
SYS.2.2.3.A6,Integration of Online Accounts into the Operating System,,,,,X,,,,,,,,,
SYS.2.2.3.A7,ELIMINATED,,,,,,,,,,,,,,
SYS.2.2.3.A8,ELIMINATED,,,,,,,,,,,,,,
SYS.2.2.3.A9,Secure Central Authentication of Windows Networks,,,,,,,,X,,,X,,,
SYS.2.2.3.A10,ELIMINATED,,,,,,,,,,,,,,
SYS.2.2.3.A11,ELIMINATED,,,,,,,,,,,,,,
SYS.2.2.3.A12,File and Share Authorisation in Windows 10,,,,,,,X,,,,X,,,
SYS.2.2.3.A13,Using the SmartScreen Function,,,,,X,,,,,,,,,
SYS.2.2.3.A14,Use of the Voice Assistant Cortana,,,X,,X,,,,,,,,,
SYS.2.2.3.A15,Use of Synchronisation Mechanisms in Windows 10,,,,,X,,,,,,,,,
SYS.2.2.3.A16,Connection of Windows 10 to the Microsoft Store,,,,,X,,,,X,X,,,,
SYS.2.2.3.A17,No Storage of Data for Automatic Login,,,,,X,,,X,,,X,,,
SYS.2.2.3.A18,Use of Windows Remote Support,,,,,,,,X,,,X,,,
SYS.2.2.3.A19,Security During Remote Access Using RDP,,,,,,,,X,,,X,,,
SYS.2.2.3.A20,Use of User Account Control (UAC) for Privileged Accounts,,,,X,,,,,,,,,,
SYS.2.2.3.A21,Use of the Encrypting File System,CI,X,,,X,,,,,,,,,
SYS.2.2.3.A22,Use of Windows PowerShell,CIA,,,,,,X,,,,X,,,
SYS.2.2.3.A23,Advanced Protection of Login Information in Windows 10,CI,X,,,X,,X,,,,,,,
SYS.2.2.3.A24,Activation of the Last Access Time Stamp,A,,,X,,,,,,X,,,X,
SYS.2.2.3.A25,Handling Remote Access Features of Connected User Experience and Telemetry,CI,,,,,,,X,,,X,X,X,
