SYS.3.2.1,Name,CIA,G 0.14,G 0.15,G 0.16,G 0.17,G 0.18,G 0.19,G 0.20,G 0.22,G 0.23,G 0.28,G 0.30,G 0.31,G 0.36,G 0.38,G 0.39,G 0.45,G 0.46
SYS.3.2.1.A1,Definition of a Policy for Using Smartphones and Tablets,,,,,,X,X,,,,,X,X,,,,,
SYS.3.2.1.A2,Drawing Up a Strategy for Cloud Usage,,,,,,X,X,,,,,,,,,,,
SYS.3.2.1.A3,Secure Basic Configuration for Mobile Devices,,,,,,X,,,,X,,,X,,,,,
SYS.3.2.1.A4,Use of an Access Control Mechanism,,,,,,,,,,,,X,,,,,,
SYS.3.2.1.A5,Operating System and App Updates,,,,,,X,,,,,X,,,,,,,
SYS.3.2.1.A6,Privacy Settings and Authorisations,,X,,,,,X,,,,,X,,,,,,
SYS.3.2.1.A7,Code of Conduct in the Event of Security Incidents,,,,,,,X,,,,,,,,,,,
SYS.3.2.1.A8,Installation of Apps,,,,,,,,,,,X,X,,,,X,,
SYS.3.2.1.A9,Restrictive Use of Functional Extensions,,,,,,,X,,,,,,,,,,X,X
SYS.3.2.1.A10,Policy for Employees Regarding the Use of Mobile Devices,,,,X,X,X,,,,,,X,,,,,,
SYS.3.2.1.A11,Storage Encryption,,X,,,,,X,,,,,,,,,,,
SYS.3.2.1.A12,Use of Non-Personalised Device Names,,,,,,,X,,,,,,,,,,,
SYS.3.2.1.A13,Rules Regarding Screen Sharing and Casting,,,,,,X,X,,,,,X,,,,,,
SYS.3.2.1.A14,ELIMINATED,,,,,,,,,,,,,,,,,,
SYS.3.2.1.A15,ELIMINATED,,,,,,,,,,,,,,,,,,
SYS.3.2.1.A16,Disabling Unused Communication Interfaces,,,X,,,,X,,,X,,X,,,,,,
SYS.3.2.1.A17,ELIMINATED,,,,,,,,,,,,,,,,,,
SYS.3.2.1.A18,Use of Biometric Authentication,,,,,,,,,,X,,,,X,,,,
SYS.3.2.1.A19,Use of a Voice Assistant,,,X,,,,X,,,,,,,,,,,
SYS.3.2.1.A20,ELIMINATED,,,,,,,,,,,,,,,,,,
SYS.3.2.1.A21,ELIMINATED,,,,,,,,,,,,,,,,,,
SYS.3.2.1.A22,Integrating Mobile Devices into Internal Infrastructure via VPN,,,X,,,X,,,X,,,,,,,,,
SYS.3.2.1.A23,ELIMINATED,,,,,,,,,,,,,,,,,,
SYS.3.2.1.A24,ELIMINATED,,,,,,,,,,,,,,,,,,
SYS.3.2.1.A25,Use of Separate Work Environments,CI,,,,,,X,,,,,,X,,,,,
SYS.3.2.1.A26,Use of PIM Containers,CIA,X,,,,,X,,X,,,,,,,,,
SYS.3.2.1.A27,Use of Specially Secured End Devices,CIA,,,,,,X,,,,,,,,,,,
SYS.3.2.1.A28,Using the Filter Option for Websites,,X,,,,,X,,,,,,X,,,X,,
SYS.3.2.1.A29,Use of an Organisation-Related APN,CIA,,,,,,,,,X,,X,,X,,,,
SYS.3.2.1.A30,Restricted App Installation Using a Whitelist,CIA,,,,,,,X,,,,X,,X,,,,
SYS.3.2.1.A31,Regulation of Mobile Payments,,,,,,X,,,,,,,,,,,,
SYS.3.2.1.A32,MDM Usage,,,,,,,,,,,,X,X,,,,,
SYS.3.2.1.A33,Selection and Installation of Security Apps,,,,,,,,,,,,,X,,,X,,
SYS.3.2.1.A34,Configuration of the DNS Server Used,,,X,,,,X,,X,,,,,,,,,
SYS.3.2.1.A35,Using a Firewall,CIA,,,,,,X,,,X,,,,,,,,
