SYS.3.2.2,Name,CIA,G 0.11,G 0.13,G 0.14,G 0.15,G 0.16,G 0.17,G 0.18,G 0.19,G 0.21,G 0.22,G 0.23,G 0.24,G 0.25,G 0.28,G 0.29,G 0.30,G 0.31,G 0.32,G 0.36,G 0.37,G 0.38,G 0.39,G 0.45
SYS.3.2.2.A1,Determining a Strategy for Mobile Device Management,,,,,,,,X,,,,,,,,X,,,,,,,,
SYS.3.2.2.A2,Defining Admissible Mobile Devices,,,,,,,,X,,,,,,,,,,,,,,,,
SYS.3.2.2.A3,Selecting an MDM Product,,X,,,,,,X,,,,,,,,,,,,,,,,X
SYS.3.2.2.A4,Distribution of the Basic Configuration to Mobile Devices,,,X,X,,,,,,X,X,X,,,,,X,X,,X,,,X,
SYS.3.2.2.A5,Installing the MDM Client,,,X,X,,,,,,X,X,X,,,,,X,X,,X,,,X,
SYS.3.2.2.A6,Logging the Device Status,,,,,,,,,,,,,,,,,X,X,X,,X,,,
SYS.3.2.2.A7,Installation of Apps,,,,X,,X,,,X,X,X,X,X,X,,X,X,X,X,X,,,X,
SYS.3.2.2.A8,ELIMINATED,,,,,,,,,,,,,,,,,,,,,,,,
SYS.3.2.2.A9,ELIMINATED,,,,,,,,,,,,,,,,,,,,,,,,
SYS.3.2.2.A10,ELIMINATED,,,,,,,,,,,,,,,,,,,,,,,,
SYS.3.2.2.A11,ELIMINATED,,,,,,,,,,,,,,,,,,,,,,,,
SYS.3.2.2.A12,Protection of the MDM Operating Environment,,,,,,,,,,,,X,,,,,X,,X,,,X,,
SYS.3.2.2.A13,ELIMINATED,,,,,,,,,,,,,,,,,,,,,,,,
SYS.3.2.2.A14,Use of External Reputation Services for Apps,CI,,,X,,X,,,X,,X,X,,,X,,X,,,X,,,X,
SYS.3.2.2.A15,ELIMINATED,,,,,,,,,,,,,,,,,,,,,,,,
SYS.3.2.2.A16,ELIMINATED,,,,,,,,,,,,,,,,,,,,,,,,
SYS.3.2.2.A17,Monitoring the Use of Mobile Devices,I,,,,,,,,,,,,,,,X,X,X,X,,X,,,
SYS.3.2.2.A18,ELIMINATED,,,,,,,,,,,,,,,,,,,,,,,,
SYS.3.2.2.A19,Using Geofencing,CI,,,X,,,,,,,,,,,,,,,,,,,,
SYS.3.2.2.A20,Regular Review of the MDM System,,,,,,,,X,X,X,,X,,,,X,X,X,X,,,,,
SYS.3.2.2.A21,Administration of Certificates,,,,X,X,,,X,X,,X,X,,,,X,X,X,X,X,,X,,
SYS.3.2.2.A22,Remote Deletion and Decommissioning of End Devices,,,,X,X,X,X,X,X,,,,X,,,X,X,,,X,,X,,
SYS.3.2.2.A23,Enforcing Compliance Requirements,CI,,,,,X,,,,X,X,,,,,X,,,,,,,,
