SYS.4.1,Name,CIA,G 0.15,G 0.16,G 0.18,G 0.19,G 0.21,G 0.22,G 0.23,G 0.25,G 0.30,G 0.31
SYS.4.1.A1,"Planning the Use of Printers, Copiers, and All-in-One Devices",,,X,X,,,,,,,
SYS.4.1.A2,"Suitable Siting and Access to Printers, Copiers, and All-in-One Devices",,,X,,X,X,,,,,
SYS.4.1.A3,ELIMINATED,,,,,,,,,,,
SYS.4.1.A4,"Drawing Up a Security Policy for the Use of Printers, Copiers, and All-in-One Devices",,,,X,,,,,,X,
SYS.4.1.A5,"Drawing Up User Guidelines for Handling Printers, Copiers, and All-in-One Devices",,,,,,,,,,,X
SYS.4.1.A6,ELIMINATED,,,,,,,,,,,
SYS.4.1.A7,"Restriction of Remote Administrative Access to Printers, Copiers, and All-in-One Devices",,X,,,,,,X,,X,
SYS.4.1.A8,ELIMINATED,,,,,,,,,,,
SYS.4.1.A9,ELIMINATED,,,,,,,,,,,
SYS.4.1.A10,ELIMINATED,,,,,,,,,,,
SYS.4.1.A11,"Restricting the Connection of Printers, Copiers, and All-in-One Devices",,X,,,,,,X,,X,
SYS.4.1.A12,ELIMINATED,,,,,,,,,,,
SYS.4.1.A13,ELIMINATED,,,,,,,,,,,
SYS.4.1.A14,"Authentication and Authorisation for Printers, Copiers, and All-in-One Devices",CIA,,,,X,,,,,X,
SYS.4.1.A15,"Encryption of Information for Printers, Copiers, and All-in-One Devices",,,,,X,,X,,,,
SYS.4.1.A16,"Reducing Downtimes for Printers, Copiers, and All-in-One Devices",A,,,,,,,,X,,
SYS.4.1.A17,Protection of Payloads and Metadata,,,,,X,,,,,,
SYS.4.1.A18,"Configuration of Printers, Copiers, and All-in-One Devices",,,,X,X,,X,,,,
SYS.4.1.A19,ELIMINATED,,,,,,,,,,,
SYS.4.1.A20,"Enhanced Information Protection for Printers, Copiers, and All-in-One Devices",C,,,,X,,,,,,
SYS.4.1.A21,"Extended Protection of Printers, Copiers, and All-in-One Devices",CIA,,,X,,X,,,,,
SYS.4.1.A22,Proper Disposal of Printed Documents,,,,,X,,,,,,
