"section","id","title","part","chapter","content"
"1","section-1","Unauthorised access to computer material.","","","1A person is guilty of an offence if—ahe causes a computer to perform any function with intent to secure access to any program or data held in any computer , or to enable any such access to be secured;bthe access he intends to secure , or to enable to be secured, is unauthorised; andche knows at the time when he causes the computer to perform the function that that is the case.2The intent a person has to have to commit an offence under this section need not be directed at—aany particular program or data;ba program or data of any particular kind; orca program or data held in any particular computer.3A person guilty of an offence under this section shall be liable—aon summary conviction in England and Wales, to imprisonment for a term not exceeding the general limit in a magistrates’ court or to a fine not exceeding the statutory maximum or to both;bon summary conviction in Scotland, to imprisonment for a term not exceeding 12 months or to a fine not exceeding the statutory maximum or to both;con conviction on indictment, to imprisonment for a term not exceeding two years or to a fine or to both."
"2","section-2","Unauthorised access with intent to commit or facilitate commission of further offences.","","","1A person is guilty of an offence under this section if he commits an offence under section 1 above (“the unauthorised access offence”) with intent—ato commit an offence to which this section applies; orbto facilitate the commission of such an offence (whether by himself or by any other person);and the offence he intends to commit or facilitate is referred to below in this section as the further offence.2This section applies to offences—afor which the sentence is fixed by law; orbfor which a person who has attained the age of twenty-one years (eighteen in relation to England and Wales) and has no previous convictions may be sentenced to imprisonment for a term of five years (or, in England and Wales, might be so sentenced but for the restrictions imposed by section 33 of the Magistrates’ Courts Act 1980).3It is immaterial for the purposes of this section whether the further offence is to be committed on the same occasion as the unauthorised access offence or on any future occasion.4A person may be guilty of an offence under this section even though the facts are such that the commission of the further offence is impossible.5A person guilty of an offence under this section shall be liable—aon summary conviction in England and Wales, to imprisonment for a term not exceeding the general limit in a magistrates’ court or to a fine not exceeding the statutory maximum or to both;bon summary conviction in Scotland, to imprisonment for a term not exceeding 12 months or to a fine not exceeding the statutory maximum or to both;con conviction on indictment, to imprisonment for a term not exceeding five years or to a fine or to both."
"3","section-3","Unauthorised acts with intent to impair, or with recklessness as to impairing, operation of computer, etc.","","","1A person is guilty of an offence if—ahe does any unauthorised act in relation to a computer;bat the time when he does the act he knows that it is unauthorised; andceither subsection (2) or subsection (3) below applies.2This subsection applies if the person intends by doing the act—ato impair the operation of any computer;bto prevent or hinder access to any program or data held in any computer; orcto impair the operation of any such program or the reliability of any such data; ordto enable any of the things mentioned in paragraphs (a) to (c) above to be done.3This subsection applies if the person is reckless as to whether the act will do any of the things mentioned in paragraphs (a) to (d)to (c) of subsection (2) above.4The intention referred to in subsection (2) above, or the recklessness referred to in subsection (3) above, need not relate to—aany particular computer;bany particular program or data; orca program or data of any particular kind.5In this section—aa reference to doing an act includes a reference to causing an act to be done;b“act” includes a series of acts;ca reference to impairing, preventing or hindering something includes a reference to doing so temporarily.6A person guilty of an offence under this section shall be liable—aon summary conviction in England and Wales, to imprisonment for a term not exceeding the general limit in a magistrates’ court or to a fine not exceeding the statutory maximum or to both;bon summary conviction in Scotland, to imprisonment for a term not exceeding 12 months or to a fine not exceeding the statutory maximum or to both;con conviction on indictment, to imprisonment for a term not exceeding ten years or to a fine or to both."
"3A","section-3A","Making, supplying or obtaining articles for use in offence under section 1, 3 or 3ZA","","","1A person is guilty of an offence if he makes, adapts, supplies or offers to supply any article intending it to be used to commit, or to assist in the commission of, an offence under section 1, 3 or 3ZA.2A person is guilty of an offence if he supplies or offers to supply any article believing that it is likely to be used to commit, or to assist in the commission of, an offence under section 1, 3 or 3ZA.3A person is guilty of an offence if he obtains any article— aintending to use it to commit, or to assist in the commission of, an offence under section 1, 3 or 3ZA, orbwith a view to its being supplied for use to commit, or to assist in the commission of, an offence under section 1, 3 or 3ZA.4 In this section “ article ” includes any program or data held in electronic form. 5A person guilty of an offence under this section shall be liable—aon summary conviction in England and Wales, to imprisonment for a term not exceeding the general limit in a magistrates’ court or to a fine not exceeding the statutory maximum or to both;bon summary conviction in Scotland, to imprisonment for a term not exceeding 12 months or to a fine not exceeding the statutory maximum or to both;con conviction on indictment, to imprisonment for a term not exceeding two years or to a fine or to both."
"3ZA","section-3ZA","Unauthorised acts causing, or creating risk of, serious damage","","","1A person is guilty of an offence if—athe person does any unauthorised act in relation to a computer;bat the time of doing the act the person knows that it is unauthorised;cthe act causes, or creates a significant risk of, serious damage of a material kind; anddthe person intends by doing the act to cause serious damage of a material kind or is reckless as to whether such damage is caused.2Damage is of a “material kind” for the purposes of this section if it is—adamage to human welfare in any place;bdamage to the environment of any place;cdamage to the economy of any country; orddamage to the national security of any country.3For the purposes of subsection (2)(a) an act causes damage to human welfare only if it causes—aloss to human life;bhuman illness or injury;cdisruption of a supply of money, food, water, energy or fuel;ddisruption of a system of communication;edisruption of facilities for transport; orfdisruption of services relating to health.4It is immaterial for the purposes of subsection (2) whether or not an act causing damage—adoes so directly;bis the only or main cause of the damage.5In this section—aa reference to doing an act includes a reference to causing an act to be done;b“act” includes a series of acts;ca reference to a country includes a reference to a territory, and to any place in, or part or region of, a country or territory.6A person guilty of an offence under this section is (unless subsection (7) applies) liable, on conviction on indictment, to imprisonment for a term not exceeding 14 years, or to a fine, or to both.7Where an offence under this section is committed as a result of an act causing or creating a significant risk of—aserious damage to human welfare of the kind mentioned in subsection (3)(a) or (3)(b), orbserious damage to national security,a person guilty of the offence is liable, on conviction on indictment, to imprisonment for life, or to a fine, or to both."
"4","section-4","Territorial scope of offences under this Act.","","","1Except as provided below in this section, it is immaterial for the purposes of any offence under section 1, 3 or 3ZA above—awhether any act or other event proof of which is required for conviction of the offence occurred in the home country concerned; orbwhether the accused was in the home country concerned at the time of any such act or event.2Subject to subsection (3) below, in the case of such an offence at least one significant link with domestic jurisdiction must exist in the circumstances of the case for the offence to be committed.3There is no need for any such link to exist for the commission of an offence under section 1 above to be established in proof of an allegation to that effect in proceedings for an offence under section 2 above.4Subject to section 8 below, where—aany such link does in fact exist in the case of an offence under section 1 above; andbcommission of that offence is alleged in proceedings for an offence under section 2 above;section 2 above shall apply as if anything the accused intended to do or facilitate in any place outside the home country concerned which would be an offence to which section 2 applies if it took place in the home country concerned were the offence in question.4AIt is immaterial for the purposes of an offence under section 3A whether the accused was in the home country concerned at the time of any act or other event proof of which is required for conviction of the offence if there is a significant link with domestic jurisdiction in relation to the offence.5This section is without prejudice to any jurisdiction exercisable by a court in Scotland apart from this section.6References in this Act to the home country concerned are references—ain the application of this Act to England and Wales, to England and Wales;bin the application of this Act to Scotland, to Scotland; andcin the application of this Act to Northern Ireland, to Northern Ireland."
"5","section-5","Significant links with domestic jurisdiction.","","","1The following provisions of this section apply for the interpretation of section 4 above.1AIn relation to an offence under section 1, 3, 3ZA or 3A, where the accused was in a country outside the United Kingdom at the time of the act constituting the offence there is a significant link with domestic jurisdiction if—athe accused was a United Kingdom national at that time; andbthe act constituted an offence under the law of the country in which it occurred.1BIn subsection (1A)—“country” includes territory;“United Kingdom national” means an individual who is—a British citizen, a British overseas territories citizen, a British National (Overseas) or a British Overseas citizen;a person who under the British Nationality Act 1981 is a British subject; ora British protected person within the meaning of that Act.2In relation to an offence under section 1, either of the following is a significant link with domestic jurisdiction—athat the accused was in the home country concerned at the time when he did the act which caused the computer to perform the function; orbthat any computer containing any program or data to which the accused secured or intended to secure unauthorised access by doing that act was in the home country concerned at that time.bthat any computer containing any program or data to which the accused by doing that act secured or intended to secure unauthorised access, or enabled or intended to enable unauthorised access to be secured, was in the home country concerned at that time.3In relation to an offence under section 3, either of the following is a significant link with domestic jurisdiction—athat the accused was in the home country concerned at the time when he did the unauthorised act (or caused it to be done) ; orbthat the unauthorised act was done in relation to a computer in the home country concerned.3AIn relation to an offence under section 3ZA, any of the following is also a significant link with domestic jurisdiction—athat the accused was in the home country concerned at the time when he did the unauthorised act (or caused it to be done);bthat the unauthorised act was done in relation to a computer in the home country concerned;cthat the unauthorised act caused, or created a significant risk of, serious damage of a material kind (within the meaning of that section) in the home country concerned."
"6","section-6","Territorial scope of inchoate offences related to offences under this Act.","","","1On a charge of conspiracy to commit an offence under this Act the following questions are immaterial to the accused’s guilt—athe question where any person became a party to the conspiracy; andbthe question whether any act, omission or other event occurred in the home country concerned.2On a charge of attempting to commit an offence under this Act the following questions are immaterial to the accused’s guilt—athe question where the attempt was made; andbthe question whether it had an effect in the home country concerned.3. . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .4This section does not extend to Scotland."
"7","section-7","Territorial scope of inchoate offences related to offences under external law corresponding to offences under sections 1 to 3.","","","1. . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .2. . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .3The following subsections shall be inserted after section 1(1) of the Criminal Attempts Act 1981—1ASubject to section 8 of the Computer Misuse Act 1990 (relevance of external law), if this subsection applies to an act, what the person doing it had in view shall be treated as an offence to which this section applies.1BSubsection (1A) above applies to an act if—ait is done in England and Wales; andbit would fall within subsection (1) above as more than merely preparatory to the commission of an offence under section 3 of the Computer Misuse Act 1990 but for the fact that the offence, if completed, would not be an offence triable in England and Wales..4. . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . ."
"8","section-8","Relevance of external law.","","","1A person is guilty of an offence triable by virtue of section 4(4) above only if what he intended to do or facilitate would involve the commission of an offence under the law in force where the whole or any part of it was intended to take place.2. . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .3A person is guilty of an offence triable by virtue of section 1(1A) of the Criminal Attempts Act 1981 . . . only if what he had in view would involve the commission of an offence under the law in force where the whole or any part of it was intended to take place.4Conduct punishable under the law in force in any place is an offence under that law for the purposes of this section, however it is described in that law.5Subject to subsection (7) below, a condition specified in subsection (1) or (3) above shall be taken to be satisfied unless not later than rules of court may provide the defence serve on the prosecution a notice—astating that, on the facts as alleged with respect to the relevant conduct, the condition is not in their opinion satisfied;bshowing their grounds for that opinion; andcrequiring the prosecution to show that it is satisfied.6In subsection (5) above “the relevant conduct” means—awhere the condition in subsection (1) above is in question, what the accused intended to do or facilitate;b. . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .cwhere the condition in subsection (3) above is in question, what the accused had in view.7The court, if it thinks fit, may permit the defence to require the prosecution to show that the condition is satisfied without the prior service of a notice under subsection (5) above.8If by virtue of subsection (7) above a court of solemn jurisdiction in Scotland permits the defence to require the prosecution to show that the condition is satisfied, it shall be competent for the prosecution for that purpose to examine any witness or to put in evidence any production not included in the lists lodged by it.9In the Crown Court the question whether the condition is satisfied shall be decided by the judge alone.10In the High Court of Justiciary and in the sheriff court the question whether the condition is satisfied shall be decided by the judge or, as the case may be, the sheriff alone."
