"section","content"
"1","The object of this Act is to establish, for the exercise of the rights conferred by articles 35 to 40 of the Civil Code concerning the protection of personal information, particular rules with respect to personal information relating to other persons which a person collects, holds, uses or communicates to third persons in the course of carrying on an enterprise within the meaning of article 1525 of the Civil Code. The Act applies to such information, whether the enterprise keeps the information itself or through the agency of a third person, whatever the nature of its medium and whatever the form in which it is accessible, whether written, graphic, taped, filmed, computerized, or other. This Act also applies to personal information held by a professional order to the extent provided for by the Professional Code ( chapter C-26 ) and to that held by a political party, an independent Member or an independent candidate to the extent provided for by the Election Act ( chapter E-3.3 ). This Act does not apply to journalistic, historical or genealogical material collected, held, used or communicated for the legitimate information of the public. Divisions II and III of this Act do not apply to personal information which by law is public. Nor do they apply to personal information concerning the performance of duties within an enterprise by the person concerned, such as the person’s name, title and duties, as well as the address, email address and telephone number of the person’s place of work."
"1.1","For the purposes of this Act, any person who collects personal information relating to another person for a serious and legitimate reason is deemed to be establishing a file within the meaning of the Civil Code and the rights concerning such a file conferred by articles 35 to 40 of that Code apply to the personal information collected."
"2","Personal information is any information which relates to a natural person and directly or indirectly allows that person to be identified."
"3","This Act does not apply 1 ° to a public body within the meaning of the Act respecting Access to documents held by public bodies and the Protection of personal information ( chapter A-2.1 ); 2 ° to information held on behalf of a public body by a person other than a public body; 3 ° to health and social services information within the meaning of the Act respecting health and social services information ( chapter R-22.1 ) held by a health and social services body within the meaning of that Act or by a person other than such a body, on its behalf."
"3.1","Any person carrying on an enterprise is responsible for protecting the personal information held by the person. Within the enterprise, the person exercising the highest authority shall see to ensuring that this Act is implemented and complied with. That person shall exercise the function of person in charge of the protection of personal information; he may delegate all or part of that function in writing to any person. The title and contact information of the person in charge of the protection of personal information must be published on the enterprise’s website or, if the enterprise does not have a website, be made available by any other appropriate means."
"3.2","Any person carrying on an enterprise must establish and implement governance policies and practices regarding personal information that ensure the protection of such information. Such policies and practices must, in particular, provide a framework for the keeping and destruction of the information, define the roles and responsibilities of the members of its personnel throughout the life cycle of the information and provide a process for dealing with complaints regarding the protection of the information. The policies and practices must also be proportionate to the nature and scope of the enterprise’s activities and be approved by the person in charge of the protection of personal information. Detailed information about those policies and practices, in particular as concerns the content required under the first paragraph, must be published in simple and clear language on the enterprise’s website or, if the enterprise does not have a website, made available by any other appropriate means."
"3.3","Any person carrying on an enterprise must conduct a privacy impact assessment for any project to acquire, develop or overhaul an information system or electronic service delivery system involving the collection, use, communication, keeping or destruction of personal information. For the purposes of such an assessment, the person must consult the person in charge of the protection of personal information within the enterprise from the outset of the project. The person must also ensure that the project allows computerized personal information collected from the person concerned to be communicated to him in a structured, commonly used technological format. The conduct of a privacy impact assessment under this Act must be proportionate to the sensitivity of the information concerned, the purposes for which it is to be used, the quantity and distribution of the information and the medium on which it is stored."
"3.4","The person in charge of the protection of personal information may, at any stage of a project referred to in section 3.3, suggest personal information protection measures applicable to the project, such as 1 ° the appointment of a person to be responsible for implementing the personal information protection measures; 2 ° measures to protect the personal information in any document relating to the project; 3 ° a description of the project participants’ responsibilities with regard to the protection of personal information; or 4 ° training activities for project participants on the protection of personal information."
"3.5","Any person carrying on an enterprise who has cause to believe that a confidentiality incident involving personal information the person holds has occurred must take reasonable measures to reduce the risk of injury and to prevent new incidents of the same nature. If the incident presents a risk of serious injury, the person carrying on an enterprise must promptly notify the Commission d’accès à l’information established by section 103 of the Act respecting Access to documents held by public bodies and the Protection of personal information ( chapter A-2.1 ). He must also notify any person whose personal information is concerned by the incident, failing which the Commission may order him to do so. He may also notify any person or body that could reduce the risk, by communicating to the person or body only the personal information necessary for that purpose without the consent of the person concerned. In the latter case, the person in charge of the protection of personal information must record the communication of the information. Despite the second paragraph, a person whose personal information is concerned by the incident need not be notified so long as doing so could hamper an investigation conducted by a person or body responsible by law for the prevention, detection or repression of crime or statutory offences. A government regulation may determine the content and terms of the notices provided for in this section."
"3.6","For the purposes of this Act, “ confidentiality incident ” means 1 ° access not authorized by law to personal information; 2 ° use not authorized by law of personal information; 3 ° communication not authorized by law of personal information; or 4 ° loss of personal information or any other breach of the protection of such information."
"3.7","In assessing the risk of injury to a person whose personal information is concerned by a confidentiality incident, a person carrying on an enterprise must consider, in particular, the sensitivity of the information concerned, the anticipated consequences of its use and the likelihood that such information will be used for injurious purposes. The person must also consult the person in charge of the protection of personal information within the enterprise."
"3.8","A person carrying on an enterprise must keep a register of confidentiality incidents. A government regulation may determine the content of the register. A copy of the register must be sent to the Commission at its request."
