SORT-AS,Control Identifier,Control (or Control Enhancement) Name,Withdrawn,Privacy Baseline,Security Control Baseline - Low,Security Control Baseline - Moderate,Security Control Baseline - High
AC-01-00,AC-1,Policy and Procedures,,x ,x,x,x
AC-02-00,AC-2,Account Management,,,x,x,x
AC-02-01,AC-2(1),Account Management | Automated System Account Management,,,,x,x
AC-02-02,AC-2(2),Account Management | Automated Temporary and Emergency Account Management,,,,x,x
AC-02-03,AC-2(3),Account Management | Disable Accounts,,,,x,x
AC-02-04,AC-2(4),Account Management | Automated Audit Actions,,,,x,x
AC-02-05,AC-2(5),Account Management | Inactivity Logout,,,,x,x
AC-02-06,AC-2(6),Account Management | Dynamic Privilege Management,,,,,
AC-02-07,AC-2(7),Account Management | Privileged User Accounts,,,,,
AC-02-08,AC-2(8),Account Management | Dynamic Account Management,,,,,
AC-02-09,AC-2(9),Account Management | Restrictions on Use of Shared and Group Accounts,,,,,
AC-02-10,AC-2(10),Account Management | Shared and Group Account Credential Change,W: Incorporated into AC-2k.,,,,
AC-02-11,AC-2(11),Account Management | Usage Conditions,,,,,x
AC-02-12,AC-2(12),Account Management | Account Monitoring for Atypical Usage,,,,,x
AC-02-13,AC-2(13),Account Management | Disable Accounts for High-risk Individuals,,,,x,x
AC-03-00,AC-3,Access Enforcement,,,x,x,x
AC-03-01,AC-3(1),Access Enforcement | Restricted Access to Privileged Functions,W: Incorporated into AC-6.,,,,
AC-03-02,AC-3(2),Access Enforcement | Dual Authorization,,,,,
AC-03-03,AC-3(3),Access Enforcement | Mandatory Access Control,,,,,
AC-03-04,AC-3(4),Access Enforcement | Discretionary Access Control,,,,,
AC-03-05,AC-3(5),Access Enforcement | Security-relevant Information,,,,,
AC-03-06,AC-3(6),Access Enforcement | Protection of User and System Information,W: Incorporated into MP-4 and SC-28.,,,,
AC-03-07,AC-3(7),Access Enforcement | Role-based Access Control,,,,,
AC-03-08,AC-3(8),Access Enforcement | Revocation of Access Authorizations,,,,,
AC-03-09,AC-3(9),Access Enforcement | Controlled Release,,,,,
AC-03-10,AC-3(10),Access Enforcement | Audited Override of Access Control Mechanisms,,,,,
AC-03-11,AC-3(11),Access Enforcement | Restrict Access to Specific Information Types,,,,,
AC-03-12,AC-3(12),Access Enforcement | Assert and Enforce Application Access,,,,,
AC-03-13,AC-3(13),Access Enforcement | Attribute-based Access Control,,,,,
AC-03-14,AC-3(14),Access Enforcement | Individual Access,,x ,,,
AC-03-15,AC-3(15),Access Enforcement | Discretionary and Mandatory Access Control,,,,,
AC-04-00,AC-4,Information Flow Enforcement,,,,x,x
AC-04-01,AC-4(1),Information Flow Enforcement | Object Security and Privacy Attributes,,,,,
AC-04-02,AC-4(2),Information Flow Enforcement | Processing Domains,,,,,
AC-04-03,AC-4(3),Information Flow Enforcement | Dynamic Information Flow Control,,,,,
AC-04-04,AC-4(4),Information Flow Enforcement | Flow Control of Encrypted Information,,,,,x
AC-04-05,AC-4(5),Information Flow Enforcement | Embedded Data Types,,,,,
AC-04-06,AC-4(6),Information Flow Enforcement | Metadata,,,,,
AC-04-07,AC-4(7),Information Flow Enforcement | One-way Flow Mechanisms,,,,,
AC-04-08,AC-4(8),Information Flow Enforcement | Security and Privacy Policy Filters,,,,,
AC-04-09,AC-4(9),Information Flow Enforcement | Human Reviews,,,,,
AC-04-10,AC-4(10),Information Flow Enforcement | Enable and Disable Security or Privacy Policy Filters,,,,,
AC-04-11,AC-4(11),Information Flow Enforcement | Configuration of Security or Privacy Policy Filters,,,,,
AC-04-12,AC-4(12),Information Flow Enforcement | Data Type Identifiers,,,,,
AC-04-13,AC-4(13),Information Flow Enforcement | Decomposition into Policy-relevant Subcomponents,,,,,
AC-04-14,AC-4(14),Information Flow Enforcement | Security or Privacy Policy Filter Constraints,,,,,
AC-04-15,AC-4(15),Information Flow Enforcement | Detection of Unsanctioned Information,,,,,
AC-04-16,AC-4(16),Information Flow Enforcement | Information Transfers on Interconnected Systems,W: Incorporated into AC-4.,,,,
AC-04-17,AC-4(17),Information Flow Enforcement | Domain Authentication,,,,,
AC-04-18,AC-4(18),Information Flow Enforcement | Security Attribute Binding,W: Incorporated into AC-16.,,,,
AC-04-19,AC-4(19),Information Flow Enforcement | Validation of Metadata,,,,,
AC-04-20,AC-4(20),Information Flow Enforcement | Approved Solutions,,,,,
