CWE_ID,Name,MITRE_AI_Tagged,View1_Score,View2_Score,Max_Score,Is_AI_Relevant,AI_Category,Attack_Type,Attack_Surface,View1_Reasoning,View2_Reasoning,AI_Impact,Description,Source_View
77,Improper Neutralization of Special Elements used in a Command ('Command Injection'),Yes,2,4,4,Yes,Agent/Autonomous Systems,Direct,AI Outputs,Similar to OS command injection but more general.,Attackers want AI to generate command strings that get executed. The AI-generated command IS the attack payload.,System compromise via AI-generated command execution.,"The product constructs all or part of a command using externally-influenced input from an upstream component, but it does not neutralize or incorrectly neutralizes special elements that could modify the intended command when it is sent to a downstream component.",Research-Concepts-1000
78,Improper Neutralization of Special Elements used in an OS Command ('OS Command Injection'),Yes,2,4,4,Yes,Agent/Autonomous Systems,Direct,AI Outputs,"Command injection could target AI infrastructure, but primary AI relevance is as an attack AI might execute.",Primary target for AI agent attacks. Attackers trick AI into executing shell commands - the AI action IS the attack.,"Full system compromise, lateral movement, data destruction via AI-executed commands.","The product constructs all or part of an OS command using externally-influenced input from an upstream component, but it does not neutralize or incorrectly neutralizes special elements that could modify the intended OS command when it is sent to a downstream component.",Research-Concepts-1000
502,Deserialization of Untrusted Data,Yes,4,1,4,Yes,Supply Chain,Indirect,Supply Chain,Critical for AI systems. Malicious model files (pickle) can execute code when deserialized. Major vector for model supply chain attacks.,"AI could potentially generate serialized data, but this is uncommon and indirect.","Remote code execution when loading malicious models from untrusted sources (HuggingFace, model registries).",The product deserializes untrusted data without sufficiently ensuring that the resulting data will be valid.,Research-Concepts-1000
918,Server-Side Request Forgery (SSRF),Yes,2,4,4,Yes,Agent/Autonomous Systems,Direct,AI Outputs,SSRF could be used to attack AI infrastructure or internal services that AI systems depend on.,Critical for AI agents. Attackers want AI to make requests to internal URLs - the AI request IS the attack.,"Internal network scanning, cloud metadata theft, internal service exploitation via AI-initiated requests.","The web server receives a URL or similar request from an upstream component and retrieves the contents of this URL, but it does not sufficiently ensure that the request is being sent to the expected destination.",Research-Concepts-1000
1039,Inadequate Detection or Handling of Adversarial Input Perturbations in Automated Recognition Mechanism,Yes,4,0,4,Yes,Model Security,N/A,AI Core,Directly describes attacks ON ML recognition systems using adversarial inputs designed to cause misclassification.,"This is an attack ON AI, not something AI would produce.","Misclassification leading to safety failures (e.g., self-driving cars), authentication bypass, or content filter evasion.","The product uses an automated mechanism such as machine learning to recognize complex data inputs (e.g. image or audio) as a particular concept or category, but it does not properly detect or handle inputs that have been modified or constructed in a way that causes the mechanism to detect a different, incorrect concept.",Research-Concepts-1000
1426,Improper Validation of Generative AI Output,Yes,2,4,4,Yes,Output Validation,Direct,AI Outputs,"This is a defensive weakness - failure to validate AI output. Not an attack ON AI, but a failure in AI system design.",This IS the View 2 problem - AI generates unsafe output that should have been validated. Direct enabler of all AI-generated attacks.,"AI-generated XSS, command injection, malicious code, harmful content, and other unsafe outputs reach end users or systems.","The product invokes a generative AI/ML component whose behaviors and outputs cannot be directly controlled, but the product does not validate or insufficiently validates the outputs to ensure that they align with the intended security, content, or privacy policy.",Research-Concepts-1000
1427,Improper Neutralization of Input Used for LLM Prompting,Yes,4,3,4,Yes,Prompt Injection,Both,Multiple,"Canonical attack ON LLMs - directly targets prompt processing to manipulate model behavior, extract information, or bypass safety controls.","Prompt injection is often the mechanism used to trick AI into executing View 2 attacks (command injection, data exfiltration, etc.).","Full control over model output, safety bypass, potential code execution, data exfiltration, and reputation damage.","The product uses externally-provided data to build prompts provided to large language models (LLMs), but the way these prompts are constructed causes the LLM to fail to distinguish between user-supplied inputs and developer provided system directives.",Research-Concepts-1000
1434,Insecure Setting of Generative AI/ML Model Inference Parameters,Yes,4,1,4,Yes,Inference Security,N/A,AI Core,"Directly about insecure configuration of AI model inference parameters. Attackers can exploit misconfigured temperature, top_k, etc.","Insecure parameters might make AI more likely to produce unsafe outputs, but this is indirect.","Model behavior manipulation, increased likelihood of unsafe outputs, resource exhaustion, or quality degradation.",The product has a component that relies on a generative AI/ML model configured with inference parameters that produce an unacceptably high rate of erroneous or unexpected outputs.,Research-Concepts-1000
22,Improper Limitation of a Pathname to a Restricted Directory ('Path Traversal'),Yes,3,3,3,Yes,Infrastructure,Both,Multiple,"Path traversal can access model files, training data, configuration. Tagged by MITRE as AI/ML applicable.",AI agents with file access can be tricked into reading/writing arbitrary paths. The AI file operation IS the attack.,"Model theft, training data exposure, configuration manipulation, or system file access via AI.","The product uses external input to construct a pathname that is intended to identify a file or directory that is located underneath a restricted parent directory, but the product does not properly neutralize special elements within the pathname that can cause the pathname to resolve to a location that is outside of the restricted directory.",Research-Concepts-1000
23,Relative Path Traversal,Yes,2,3,3,Yes,Agent/Autonomous Systems,Direct,AI Outputs,"File operation weakness could affect AI model files, training data, or configuration.",AI agents with file access could be tricked into unauthorized file operations.,Unauthorized file access via AI.,"The product uses external input to construct a pathname that should be within a restricted directory, but it does not properly neutralize sequences such as .. that can resolve to a location that is outside of that directory.",Research-Concepts-1000
